text|pol
Um espaço grande , com muita diversidade nas mercadorias que são vendidas , e no valor também .  Barracas com vendedores super agradáveis e gentis .|1.0
Amei , variedades de tudo como : produtos de couro , bebidas da região , restaurantes , ótima parada para comprar lembranças para quem está turistando !|1.0
Lugar incrível , a arquitetura com várias rampas deixa ele acessível pra todo tipo de público , muita variedade pra fazer compras o preço é decente .|1.0
Lugar incrível e nos últimos andares os valores são mais baixos , além de vendedores mais fáceis de negociar .|1.0
Lugar incrível pra comprar varios tipos de produtos , organizado , limpo e bem localizado .|1.0
Centro de compras de frutas , verduras , carnes , produtos regionais e gêneros alimentícios , distribuídos em três pavilhões com dois andares .  A grande atração são os restaurantes com comidas típicas .  Carece de melhor conservação .|1.0
Mesmo nascendo e crescendo em Fortaleza ainda não tinha visitado o mercado São Sebastião .  O ambiente é limpo e organizado .  Tem vários lugares para comer , especialmente panelada .  É possível comprar de quase tudo , fiquei satisfeito .|1.0
Gostei , tem uma deliciosa culinária goumert com as melhores comidas típicas e tradicionais do nosso Nordeste ! !|1.0
Boa variedade de barzinhos , lanches e bebidas .  Lugar agradável , recomendo .  Alguns bares tem precinho mais alto , mas tem um que é mais barato e não perde a qualidade do serviço .|1.0
"Local rústico , com música ao vivo . 
Preços justos , atendimento perfeito . 
Só não leva 5 estrelas por causa da maresia ."|1.0
Mercado história lindo , vale a pena o passeio e conferir as coisas quem têm pra vender .|1.0
Barzinho bom para estar a noite ..  porém não havia distanciamento ..  mas fiscalização , por que lá pode , e outros lugares não ? ? ? ?|-1.0
O lugar é ótimo ! ! Tem música ao vivo e vários barzinhos com pratos rápidos e tiragostos .  também tem pizzaria ! !|1.0
Amei esse lugar pelo o seu formato ,onde identifiquei-me muito .|1.0
SEMPRE vou à feira ... Mas a sujeira é grande ...|0.0
lugar onde as pessoas se encontram ,tem dança ,etc|1.0
Cuidado , ao deixar carro a noite neste local , arrombaram meu carro .|-1.0
Uma delicia .  Além de poder comprar o peixe e o camarão por preços bem em conta , você pode pedir pra fritar .  O valor para fritar é de R$15 .  Paguei R$30 no quilo do camarão e de quebra ainda tem uma vista espetacular do por do sol .|1.0
Bom pra visitar .  Experiência única de comprar e mandar preparar .  Muito barato .  Mas o lugar é público e cheio de vendedores , animais e bichos .  Mas vale a pena .|1.0
Lugar agradável , peixe fresco , bom atendimento .  Você compra o peixe na feira e eles fritam pra você nos restaurantes .|1.0
Tem quase tudo do básico pra quaisquer eventualidades dentro de casa , além de também ter uma padoca de qualidade .|1.0
Show ! Pequeno mercado com grande variedade e qualidade .|1.0
Excelentes acomodações , com o colchão também mole (haja coluna) tratamento de ótima qualidade pelos funcionários .|1.0
Mercadinho cheirando a novo . Muito bom . Tem um almoço bacana , vendido em pequenas porções ... de acordo com o gosto do cliente . Vinhos , petiscos , frutas ... de tudo um pouco .... Vale conferir ...|1.0
Lugar bem localizado e com variedade de produtos , no entanto , os preços são bem altos por ser em área nobre .|1.0
Bom em variedades , mas achei o atendimento pouco gentil , muito áspero|0.0
Ótimo quebra galho , mas tem preços mais altos .|1.0
Bom Demais !|1.0
Muito bom tanto como donos como pessoas ... eles sempre estão preocupados com seus clientes .|1.0
Atendimento gentil .|0.0
Ótimo atendimento ! ! !|1.0
TOP MUITO BOM|1.0
O cliente escolhe um produto , por exemplo , carne , e o funcionario coloca outro produto de má qualidade , tornando o cliente insatisfeito .|-1.0
O frango é o melhor do bairro e o preço muito bom também .|1.0
Falta higiene|-1.0
A proprietária é muita simpática ! Dana Regiane !|1.0
Bons preços|1.0
Bom supermercado (bem limpo) e com ótimos preços .  Estacionamento às vezes um pouco pequeno , mas em geral , dá certo .  Opção de parcelamento em 4x pode ser um diferencial|1.0
Gostamos muito e o preço é ótimo .  Sempre fomos muito bem atendidos .  Obrigado .|1.0
É muito especial , tem tudo de Bom , fui lá para comprar limão , no entanto , comprei muita coisa , como carne , ovos leite coração , asas para churrasco , Mantega etc .|1.0
Um lugar prático .  Gosto muito do estacionamento que é bem próximo da entrada .  Há boas opções de produtos , mas poderiam fazer algumas ofertas imbatíveis de vez em quando .|1.0
Gostei do local , bem cuidado , os preços de acordo com o mercado .  A padaria é muito boa .  Indico esse lugar para quem precisa fazer as comprar diárias .|1.0
Pessimo ,2 caixas funcionando fora 1 de pequenas coisas ,péssimo nota zero|-1.0
Boa infraestrutura , possui estacionamento e segurança .  Conta com Banco 24 horas também .  Como todos os outros CenterBox , tem bastante variedade de frutas , bebidas e marcas de diversos segmentos .|1.0
3 estrelas porque sempre que acaba um produto demora muito para chegar outro .  Ou seja sempre falta algum produto .|0.0
Local agradável , mas o ar condicionado não estava legal ...  Pouco álcool gel disponível aos clientes ...  Lamentável pois sou fã das promoções de frutas da loja do Itapery .|0.0
Como sempre todas as lojas desse grupo são tops|1.0
"Melhorou e muito desde a última vez que tinha visitado . 
Ambiente sereno muito agradável de estar ."|1.0
Comprei um esfregão que só tinha lá por 37 ,99 .  Preço justo , mas de modo geral tudo é caro ...  se bem que com esse governo Bolsonaro é uma desgraça mesmo , nem sei mais o que é caro ou barato .|0.0
é um bom supermercado mas poderia melhorar muito se trabalhasse com produtos pra todos os públicos . por exemplo sabão em pó não tem do mais barato|0.0
Muita variedade e preço baixo|1.0
Ótimo ambiente , limpo , ótimas atendentes , agora os preços das carne é raro eu comprar por ser caro !|1.0
Aprecio fazer minhas compras no Center Box por ter variedades de frutas e verduras fresquinhas e ótimos preços .|1.0
Lugar agradável , preços razoáveis .  Bom atendimento .  Boa acessibilidade para deficientes .|1.0
Local sempre aparenta estar sujo e o álcool e demais produtos de higienização na entrada demoram pra ser repostos .  Os atendentes da padaria são apáticos .  Só vale a pena pelo valor de alguns ítens e pela variedades de produtos .|-1.0
Muito bom , é limpo e organizado .  Ganhei até um cafezinho|1.0
Ótimo supermercado atendimento perfeito pena que não consigo emprego lá , mas é um estabelecimento ofertas muito boas .|1.0
Compro muito aqui .  Tenho app .  Aproveito toda as promoções .  Muito completo|1.0
Sempre faço compras nesse lugar , por ser próximo a minha casa , mas contém falsas promoções|0.0
Sou viciado nesse mercantil , gosto do ambiente e das pessoas que ali trabalham ...|1.0
O local precisa de uma reforma .  Muito inferior a qualquer supermercado da região .  Aspecto de sujo .|0.0
Loja grande , limpa e bem organizada , atendimento rápido e variedade de produtos .  Tem estacionamento próprio .|1.0
Os preços são bons e é bem completo .|1.0
Muito organizado . estacionamento gratuito .|1.0
Adoro , tem tudo que preciso e a qualidade dos produtos são como sempre nuito frescas .|1.0
Há algum tempo fiz duras críticas ao pão carioquinha .  Hoje eu quero elogiar o pão está assado , com uma bela cor parece pão de propaganda .  Espero que permaneça desse modo Parabéns ao padeiro .|0.0
Muito desconveniente eles vende comida e acessórios pra pet .  Mais os pet não podem entrar .  Injustiças vou levar ao conhecimento de um deputado das causas dos animais .|-1.0
Loja limpa , organizada , todos os funcionários com máscaras .  Tem ampla variedade de produtos veganos , integrais e sem lactose .|1.0
Tudo aparentemente caro , acima da média do bolso do cidadão honesto .  Uma pena .  Mas lá se encontra de tudo !|0.0
É maravilhoso , o conheço há mais de 20 anos , gostaria de poder abastecer minha casa com produtos são Luis , sei que tem qualidade .|1.0
Maravilha de supermercado .  Produtos de primeira qualidade .  Super indico e agora em mais bairros da cidade .|1.0
Muitas promoções em toda a loja , vale muito a pena conferir .  Ótimo atendimento .  O único ponto negativo é que o mercadinho é pequeno , mas muito bem organizado .|1.0
Perto da praia é uma grande opção para que não está muito chegado em gastar muito dinheiro nos quiosques a beira mar , passei um dia inteiro comprando cerveja e petiscos e meu dia foi ótimo pelo custo e bom atendimento .|1.0
Tem fama de caro , mas se você observar da pra aproveitar muitas promoções .  E o melhor , da pra ter o desconto no caixa apenas digitando seu CPF , sem ter que fazer nenhum cadastro nem baixar nenhum app|1.0
Mercadinho São Luiz é aquele tipo de mercado que você não quer enfrentar fila e acha de tudo um pouco .  Preços acima da média , porém , com frutas e verduras selecionadas .|1.0
Loja muito sortida , atendimento nota dez|1.0
Bom lugar para comprar frutas , bebidas , legumes , a padaria é muito boa , tem pães muito bons .  O negativo são os pedintes na porta do mercado que incomoda muito , mas vale a pena comprar de tudo lá|1.0
Produtos de qualidade , tem que melhorar a fachada , que está ultrapassada .|1.0
Normal ! Os funcionários foram muito educados e gentis ! Merecem aumento hein ?|1.0
Ótimo lugar com variedades de produtos , preços , ótimo atendimento ao consumidor sem contar que é perto da praia claro .  Muito bom 👏👏👏👏👏👏|1.0
Achei as coisas caras .  ( Sou de Aracaju)|0.0
Pior atendimento que tive na minha vida , comparado a quaisquer outros estabecimentos .  Desde o senhor o qual cuidava da cancela , as moças do atendimento ao público e caixas .  Tem muito a melhorar a comparar aos outros mercados da rede .|-1.0
Ótima variedade , ambiente limpo , bom atendimento , porém , na média é mais caro que alguns concorrentes .|1.0
"O Mercado foi remodelado e ficou muito bom , bem espaçoso , bem diversificado . 
Mas , Não tem estacionamento coberto ,
E a espera nos caixas é um absurdo ."|0.0
As verduras nunca estão ok .  Numa semana tem um produto e na outra não .  Mas o mais inacreditável , foi eu ter comprado um queijo prato , no sábado , dia 6 , e o produto estar vencido desde o dia 20 de OUTUBRO ! ! ! !|-1.0
Fui bem atendido pela operadora de caixa .  Porém no dia da visita a loja estava quente .  Ar-condicionado não estava atendendo a demanda .|1.0
Cilada , hoje se recusaram a cumprir um anúncio de preço veiculado na TV mesmo na presença do fiscal da loja e de outro cliente que comigo confirmou ter visto a promoção .  Filas enormes , poucos caixas , atendimento péssimo .  Nunca mais .|-1.0
Ótimo ambiente e atendimento .  Oferece diversos produtos .  Minha única observação é a respeito dos animais em exposição , principalmente os roedores .  Claramente desconfortáveis com a luz artificial do shopping e sem espaço suficiente para se refugiar dela .|0.0
Por ser dentro do shopping é compreensível , mas os itens são mais caros que as lojas de rua , fora isso lugar bem arrumado e com boa variedade .|1.0
Lugar excelente pra que gosta de cuidar de seu pet , bom atendimento amplo estacionamento e você que quer adotar um pet tem feira de adoção .  Recomendo !|1.0
O que estragou minha visita foi o atendimento da operadora de caixa Carla .  Jogando minhas compras sem vontade alguma de trabalho .|0.0
Excelente atendimento .  Banho muito cuidadoso e de qualidade .  Recomendo .|1.0
Lugar bacana e tinha os biscoitos favoritos do meu dog em promoção|1.0
"Linda loja ! Bem completa .  Fui muito bem atendida pelo funcionário de nome Kimber ... muito atencioso e paciente ( pois eu estava indecisa em qual escolher) . 
Adorei .  Recomendo ."|1.0
Sempre compro a ração das minhas gatas , sempre sou bem atendida , já até me ajudaram a colocar roupa pós-operatório na minha gata , são uns amores .  Tem de tudo ! Sempre num ótimo preço ♡|1.0
Local bem apertado mas tem quase tudo que os grandes mercados têm .  Apenas deveriam investir em mais atendentes de caixa ..  tem acho que 8 ..  porem só funcionam 2 ou 3 ..  se quiser agilidade no atendimento , este não é o lugar !|0.0
Gosto do pão e dos frios do Vince .  Mas o local é muito pequeno , dificultando a circulação de pessoas|1.0
Atendimento na padaria foi péssimo e a fatia de bolo que a atendente cortou parecia restos de tão mal cortada .|-1.0
Mercado completinho no centro da cidade , ótimo para quebrar o galho na saída do trabalho .  Possui panificadora e açougue .  Ótima localização .|1.0
Mercado com boa variedade de produtos e preços na média .  Açougue muito bom , com bons profissionais e padaria com boa variedade .|1.0
Atendentes dispersas , pedi CPF na nota e não colocou pois estava flertando com o cliente da frente|-1.0
muito caro ! 6 reais a cerveja ? é louco tem que ser muito doido pra comprar cerveja aí e enfrentar uma filazinha e ainda ter que aguentar um carinha de jaqueta de couro te seguindo ...  melhor comprar a 5 reais no posto pq ainda não enfrenta fila .|-1.0
Padaria muito boa , pão de sal excelente .  Não entendo porque as prateleiras estão sempre vazias .|1.0
"A loja está praticamente sem produtos .  Pouca variedade . 

Muito diferente de outras vezes que comprei vários produtos . 
Nem funcionários sabem os motivos ."|-1.0
Péssimo atendimento , queria comprar um requeijão e não tinha , uma pena as prateleiras vazias , mercado bem localizado uma pena um atendimento tão ruim , se fosse bom certamente estariam em outro patamar .|-1.0
O Hortifruti é bom .  No restante pouca disponibilidade de itens , não tem muita opção , preços caros .  E poucos funcionários .|-1.0
O mercado não tem mercadorias .  Prateleiras vazias .  Preço alto demais .  O atendimento é bom , mas infelizmente tudo o que a gente quer comprar não tem nesse mercado .|-1.0
Esse '' supermercado'' está de palhaçada , com os consumidores ! Lamentável , nem percam seu tempo em ir lá .  Não tem NADA .  e os funcionários mal educados .  Fechem de uma vez ! ! Porque não tem nada , e sim tem são produtos de péssimas qualidades .|-1.0
Mercado quase vazio , pouca variedade , prateleiras vazias , preços acessíveis .|-1.0
Tudo muito bem organizado .  Há um padrão ideal de atendimento que permeia as diversas unidades que conheço .  Parabéns aos proprietários / gestores .|1.0
Boa noite ,o super Curitiba ,fica próximo da minha casa ;mercado bom de se comprar .  Diariamente promoções ,preço bom e atendimento perfeito .  Gostei 👏🤗👍 ! ! ! !|1.0
Mercado bom , porém preços praticados acima da média dos outros da região .|0.0
"Produtos de Ótima Qualidade . 
Direção do Mercado sempre atenciosa com a Comunidade .  Parabéns ! ! !
Deus abençoe toda Equipe ."|1.0
Adoro o Curitiba do Caiua .  Um lugar muito harmonioso e bom atendimento sempre .|1.0
Acho um absurdo nos dias de hoje não aceitarem PIX , nem por chave , nem na máquina , QR code , nada .  Precisam se atualizar as novas formas de pagamento , urgente ! ! !|-1.0
Ótima variedade e preço bom , o único problema , é que não tem controle do estacionamento , quanto as vagas para idosos ! Sempre que eu vou , as vagas estão ocupadas e os veículos , muitas vezes , estão sem a credencial , para parar ali .|-1.0
Mercado tem boas promoções , mas anteontem comprei 1 kg de carne moída que estava em promoção e o gosto e o cheiro estavam horríveis , me sentindo enganado , passem longe do açougue desse mercado|-1.0
Bom suprimento de produtos .. Hortifruti bem variado , tudo bem fresco e saudável . Padaria com atendentes bem educadas . Açougue com preços bons e ofertas a cada dia . Recomendo .|1.0
Um lugar onde se encontra tudo em temperos dos mais variados .  Produtos naturais e orgânicos diversos .|1.0
Mercado bonitinho , como o de São Paulo .  Preços iguais , caro !|1.0
Já estivemos em Curitiba em outras ocasiões e não conhecíamos o Mercado e foi uma grata surpresa .  Recomendo pois a variedade e qualidade de lojas e restaurantes vale a pena conhecer .|1.0
Parada obrigatória no final de semana , excelente gastronomia e uma experiência única de poder saborear produtos de procedência natural , orgânicas e uma diversidade de produtos incrível .  Saborear um cafezinho também é uma opção muito legal no mercado .|1.0
Gosto de comprar ,alí tem boas ofertas .|1.0
Adoro esse pessoal todos do mercado do gerente ao servente de limpeza atendem muito bem minhas limitações e de outros clientes todos os meses vou e faço toda minha compra lá são os melhores|1.0
Mercado bom , com boas opções de produtos e sempre tem promoção de cerveja , hoje por exemplo a Tiger está a 29 ,80|1.0
Bom demais o preço|1.0
Panificadora ali dentro é muito boa , tem muito quitute gostoso pra comprar , as sacolas são transparentes o que pode incomodar alguém , já o mercado é o melhor do Barigui .  Vale a pena passar por lá .|1.0
Um supermercado de bairro , muito bom .  tem ótimos preços .|1.0
Bom Lugar Pra Comprar .|1.0
Uma palhaçada a operadora de caixa esquecer de colocar as compras menores na sacola , já não é a primeira vez !|-1.0
Sempre frequento , acessível e boas ofertas !|1.0
Vou dar só 4 estrelinhas por causa do atendimento ruim da panificadora ..  pq o atendimento do açougue e dos caixas são muito bom|1.0
Caro pra desgraça|-1.0
Atendimento excelente|1.0
Ótimo atendimento , e produtos de qualidade|1.0
Lugar top , excelente atendimento , entrega a delivery .|1.0
Ótimos produtos , atendimento excelente o mercado contém todos os produtos que eu preciso para o meu dia dia . Bem completo Parabéns|1.0
Mercado pequeno com poucas opções mas ótimo|1.0
Lugar show para compras rápidas .|1.0
Amo esse lugar ! Carnes fresquinhas com preço ótimo , melhor pão da região e estou viciada no hamburguer que eles fazem .  Os preços da mercearia são melhores que os de mercados grandes .  Vale conhecer .|1.0
Um mercado que fica na região central e tem de tudo um pouco .  Achei que pela estrutura ofertada os preços são caros .|0.0
Bem localizado , boa variedade de produtos , preços interessantes , bons atendentes .|1.0
Gostei muito dos preços .  Super barato|1.0
Ótimo para ir nas quintas feiras aproveitar as promoções de frutas e verduras !|1.0
Um mercado bom barato só que com uma rotatividade grande de caixas .  Quando nos acostumamos com uma caixa ela é demitida e colocada outra no lugar|1.0
Experiência genuína ..  centro de Curitiba .  Com produtos tradicionais e inusitados , com bom custo benefício .|1.0
"Muitas vezes nem ""sacolão"" tem preços tão bons em frutas e verduras ."|1.0
Mercado bem central no coração de Curitiba mas com produtos muito caro .|0.0
Preços super altos .  Três estrelas pelo atendimento do açougueiro e da operadora de caixa .  Muito atenciosos .|0.0
Achei os preços caros .  Supermercado Rio Verde tá mais barato , .. Mas pra emergência tá bom ... Ponto positivo são as variedades ..... e limpeza tbm . ,|0.0
Bom ! Açougue com carnes de qualidade , sem falar no atendimento , que é ótimo ! Existe o clube de desconto , vale à pena ! O atendimento das meninas do caixa e a fiscal de caixa também não fica prá trás ! ! ! Muito bom !|1.0
É desanimador comprar nesse mercado .... preços irregulares , muita demora nos caixas .... pra ser ruim , tem q melhorar muito ...|-1.0
Supermercado com produtos caros , não tem muita variedade , estacionamento péssimo , poucas vagas .|-1.0
Bom .  Quase ótimo|1.0
Mercado com preços abusivos nas mercadorias , não tem muitas opções de produtos e funcionários trabalhando de mau humor .  👎|-1.0
Muito bom , fácil de estacionar , eu gosto de estabelecimento que tem acesso livre , bom estacionamento para quem quer fazer uma comprinha rápida .|1.0
Frango assado é uma delícia|1.0
Melhor pão e melhor pão de queijo do lado de lá do Barigui|1.0
Um mercado arrumado , limpo , as frutas e verduras estavam lindas ! Parabéns pelo atendimento ... 👏👏|1.0
"Pense ! ! ! Em um lugar que você é super bem atendida , tudo fresquinho na panificadora , o mercado tem tudo que você precisa . 
Amei o lugar , aliás foi muito bem recomendado . 
Parabéns aos proprietários e funcionários"|1.0
Preços bem em conta|1.0
Lugar bom porque fica aberto até o terminal cessar o movimento , na correria você sempre quer comprar alguma comida no terminal quando está indo embora , o preço não é muito barato , mas temos que entender que está dentro de um terminal de ônibus .|1.0
O salgado risoles de presunto e queijo é maravilhoso ! Muita agilidade e praticidade .  Recomendo demais .|1.0
Cumpre o papel de oferecer a possibilidade de uma compra de emergência .|0.0
Localização interessante , pois como está próximo ao terminal , facilita quem está de passagem , salgados nota 10 .|1.0
Bom lugar para fazer compras rápidas .|1.0
Ótimo tem tudo que os clientes procuram excelente atendimento Ótimos funcionários|1.0
"Bom mas o atendimento tem um pouco a desejar e os preços um pouco acima do normal
E nem vou falar do açogue várias vezes da carne estar podre , ou fedida , ou estar vendendo uma carne como se fosse outra ."|-1.0
O supermercado coloca ofertas mas não tem a mercadoria quando vamos comprar , péssimo atendimento ...|-1.0
Lugar amplo e ventilado ! ! ! !|1.0
Muito bom , uma variedade boa de bancas de carnes , sempre uma ótima qualidade .  Eu gostei .|1.0
Bem higienizado|1.0
Os preços são bem atrativos , mas o atendimento deixa a desejar .|0.0
Variedades de produtos , cordialidade e bom atendimento|1.0
Os preços já foram melhores .|0.0
Ótimo lugar pra se fazer compras !|1.0
Um dos melhores preços da cidade|1.0
É um bom supermercado , mas deixa a desejar em limpeza e organização .|0.0
Ótimo preço .|1.0
Senhor , o procon deve fazer uma visita urgente , povo vivendo e passando necessidades e você sai do supermercado com a sensação de ter sido assaltada .  Preços abusivos . ✍️|-1.0
Muito bom , o mercado que é a cara de cruzeiro do Sul variedade e atendimento axecelente ..|1.0
Tudo ótimo , preços bom e muitas variedades !|1.0
Comida estragada e vencida , preços altos e atendentes mal educadas , é aqui mesmo ! Já comprei pizza congelada com bolor lá .  👌👌|-1.0
Tudo de bom .|1.0
Mais ou menos|0.0
Bom atendimento|1.0
Bom supermercado|1.0
Um supermercado que tem tudo que você deseja comprar e os preços são excelentes .|1.0
Bem sem graça lanchonete poderia ser melhor|-1.0
Muita variedade , boa comida , povo hospitaleiro .|1.0
Certamente poderia ser melhor organizado e mais higiênico , mas é algo recorrente de se encontrar nas cidades brasileiras , fora isso se acha uma boa variedade de produtos .|0.0
Ótimo lugar , muitas variedades em produtos regionais|1.0
Mercado com produtos regionais , mas o carro chefe daqui é a nossa deliciosa farinha de mandioca .  Aqui também estão disponíveis várias lojinhas com uma variedade de produtos .|1.0
Muito bom gostei bastante do local .|1.0
Local muito bom|1.0
Foi muito bom|1.0
Muitos produtos baratos|1.0
Galeria com diversas lojas .  Os lojistas são muito bons de negócio e sempre dão descontos .|1.0
Tem de tudo ! 👏👏👏|1.0
Comida excelente|1.0
Muito bom , agradável o ambiente .|1.0
Gosto muito , bom atendimento e preço acessível .|1.0
Ótimo lugar para fazer as compras .  Gerente Paulo super atencioso e amigável , colaboradores dispostos a ajudar .|1.0
"Umas das melhores delícias estão na padaria !
😋😋"|1.0
"Muito bom atendimento . 
Meninas simpáticas e ambiente limpo . 
Parabéns !"|1.0
Um rápido almoço no restaurante , comida boa demais .  Gostei .|1.0
Tudo de bom ...  excelentes produtos em gêneros alimentícios , além de um atendimento nota 10 .|1.0
Foi boa ,tem tudo que se procura !Obrigada !|1.0
Ótimo lugar onde encontramos tudo que precisamos|1.0
Poderia ser como foi um dia ,atendimento de primeira que foi um dia ,hoje deixa a desejar .|0.0
Ambiente agradável ,porém caríssimo !|-1.0
Lugar agradável para fazer suas compras !|1.0
Muito bom , tem muita variedade ...|1.0
Muito bom , gostamos muito do atendimento dos funcionarios e os produtos da padaria e confeitaria|1.0
Ótimo supermercado|1.0
Variedades de peixes da região , verduras e legumes com preços razoável|1.0
O melhor do pescado da região você encontra aqui , além de verduras e legumes .|1.0
Lugar simples , mas com ótimo atendimento .  Sempre que puderem comprem de pequenos comerciantes .|1.0
"O mercado central de João Pessoa é um lugar aonde você encontra de tudo dentro e fora de suas instalações . 
Ao seu redor tem um comércio forte com grande variedade . 
Pode ir , o que você procura vai achar no local ."|1.0
Não aprovei , muita sujeira e desorganização , o poder público deveria investir mais nos feirantes que ali trabalham honestamente|-1.0
Ótima diversidade de frutas e legumes , com variedades de preço .|1.0
Tem tudo que se espera de uma boa feira ...|1.0
"Falta estacionamentos para uso exclusivo aos clientes . 
E mais fiscalização nos açougues ."|0.0
O Mercado Central está mal organizado , e com muito lixo .|-1.0
"Maravilho . o marcado típico da região , você encontra pessoas agradáveis e humildes . 
Atendimento nota 10 ."|1.0
"Procure por lora e estará em ótimas mãos ...  só produto de 1a qualidade e preço justo .  Muito bom os produtos e de fácil acesso ...  se precisar nem . precisa sair do carro ..  é maravilhosa ... recomendadissimo ! ! ! !
Parabéns Lora"|1.0
Bom para comprar produtos regionais , manteiga de garrafa , queijo coalho , castanhas .  Embalagem cuidadosa para levar no avião .  Infelizmente , nenhum vendedor estava de máscara .|1.0
Um bom lugar para se fazer compras rápidas de carnes queijos , frutas e verduras com bons preços .|1.0
Compramos queijo , charque e doce de jaca .  Tem varias lojas em ambos os lados da rua , os preços são justos .|1.0
Excelente opção para frutas , legumes , verduras , temperos , carne de sol castanha ...|1.0
Preços muito bons .|1.0
Dia de promoção do mercado é bom , mas apenas 3 caixas funcionando e ainda para ajudar o sistema de cartões caiu , um horror ...  mas depois de reclamações abriram mais caixas ...|0.0
"Seria melhor se os funcionários dos caixas tivessem um pouco mais de empatia ...  parecem que estão trabalhando com ódio . 
Com esse desemprego , tem gente qualificada e simpática no mercado . 
Fica a dica ."|-1.0
Mercado muito bom ,bem organizado ,limpo , produtos com preços razoáveis , atendimento razoável , fazem entrega , a parte de frutas , verduras sempre no novas .|1.0
Como este existem mais dois mercados perto de onde moro .  Neste sempre encontro boas frutas e promoções em bebidas .  Não é um supermercado grande , tipo hipermercado mas atende bem as necessidades de compra .  Fico sempre de olho nas promoções .|1.0
Gostei ,lugar bem organizado .  A minha unica reclamação é o preço de algumas coisas .|0.0
Recepção péssima .  Não higienizam carrinhos/cestas .  Os consumidores é quem deve fazê-lo .  Vigilância sanitária urgente .|-1.0
Acho que o espaçamento das prateleiras fosse maior ficaria bem melhor que já é 👍|1.0
Ambiente agradável e seguro , com bastante variedades e sortimento de produtos|1.0
"Lugar top , o melhor da Paraíba . 
Tudo que você procurar encontra aqui ...."|1.0
Supermercado com a maior variadade de produtos da cidade , bom preço e atendimento excelente .  Chama a atenção o fato de ter embaladores em todos os caixas .  Isso significa que gera mais emprego que qualquer outro estabelecimento similar .|1.0
Excelente supermercado .  Bons preços , disposição e disponibilidade dos produtos e principalmente o atendimento dos colaboradores e caixas ! ! !|1.0
Otimo atendimento muitas variedades excelente entrega no carro e arredores pelos empacotadores muito gentis|1.0
